experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2025,93,93,93,0.78498314,0.50869102,0.59884202,1,,,1,,,,,1,,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_ob,90,90,90,0.79474291,0.51738189,0.56837607,1,,,1,,,,,1,,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_tt,90,90,90,0.7970788,0.54628093,0.57264957,1,,,1,,,,,1,,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aegislab,96,96,96,0.7835559,0.51809652,0.58776113,1,,,0.25457897,0.74542103,,,,1,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2022,100,100,100,0.78647254,0.50222848,0.64738206,1,,,0.28509278,0.71490722,,,,1,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2025,93,93,93,0.79203621,0.48631924,0.67218588,1,,,0.30088487,0.69911513,,,,1,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_ob,90,90,90,0.78877429,0.4912518,0.64096416,1,,,0.34621097,0.65378903,,,,1,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_tt,90,90,90,0.79395133,0.5055988,0.64077834,1,,,0.28862978,0.71137022,,,,1,1,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aegislab,96,96,96,0.76611468,0.5374176,0.5068109,1,,1,,,,,1,,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2022,100,100,100,0.77355225,0.55684522,0.49346154,1,,1,,,,,1,,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2025,93,93,93,0.76267178,0.54513207,0.50496278,1,,1,,,,,1,,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_ob,90,90,90,0.7881385,0.59547115,0.48376068,1,,1,,,,,1,,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_tt,90,90,90,0.77757892,0.57465657,0.48589744,1,,1,,,,,1,,,,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aegislab,96,96,96,0.78543393,0.51602129,0.59031567,1,,0.28592137,,0.71407863,,,1,,1,,1
