experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,H,aiops2025,cpu stress,8,0,0.125,0.25,0.066666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,dns error,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,io fault,5,0.6,1,1,0.8,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,jvm cpu,3,0.33333333,0.66666667,0.66666667,0.44444444,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,jvm exception,3,0.33333333,0.33333333,0.66666667,0.4,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,jvm gc,2,0,0.5,0.5,0.16666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,jvm latency,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,memory stress,6,0,0.16666667,0.33333333,0.088888889,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,network corrupt,6,0.66666667,0.83333333,0.83333333,0.72222222,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,network delay,7,0.14285714,0.28571429,0.57142857,0.28571429,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,network loss,5,0.4,0.6,0.6,0.46666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,node cpu stress,6,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,node disk fill,4,0.5,0.75,0.75,0.58333333,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,node memory stress,12,0.33333333,0.41666667,0.41666667,0.375,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,pod failure,10,0.1,0.1,0.1,0.1,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,pod kill,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,target port misconfig,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,cpu,15,0.46666667,0.93333333,1,0.69444444,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,delay,15,0.53333333,0.8,1,0.68333333,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,disk,15,0.46666667,1,1,0.7,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,loss,15,0.4,0.53333333,0.6,0.47222222,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,mem,15,0.86666667,1,1,0.93333333,0
direct_rca,gemma-4-26b-a4b,H,re2_ob,socket,15,0.8,1,1,0.87777778,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,cpu,15,0.73333333,0.86666667,0.86666667,0.78888889,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,delay,15,0.26666667,0.46666667,0.6,0.38222222,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,disk,15,0.53333333,1,1,0.76666667,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,loss,15,0.2,0.4,0.53333333,0.29666667,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,mem,15,0.73333333,0.93333333,1,0.84666667,0
direct_rca,gemma-4-26b-a4b,H,re2_tt,socket,15,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ContainerKill,6,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPRequestAbort,6,0.33333333,0.33333333,0.33333333,0.33333333,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPRequestDelay,7,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPRequestReplaceMethod,15,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPRequestReplacePath,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPResponseAbort,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPResponseDelay,7,0.42857143,0.42857143,0.42857143,0.42857143,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPResponseReplaceBody,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,HTTPResponseReplaceCode,13,0.23076923,0.23076923,0.23076923,0.23076923,0
