experiment,model,arm,dataset,fault_type,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器写io负载,4,0.87509516,0.45830323,0.72229667,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器网络丢包,9,0.87221629,0.4629259,0.63903088,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器网络延迟,10,0.87217502,0.45713472,0.69644158,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器网络资源包损坏,10,0.87341324,0.45883557,0.67635658,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器网络资源包重复发送,7,0.87341592,0.45909896,0.70145339,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器读io负载,9,0.87678993,0.45987127,0.65147561,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,k8s容器进程中止,5,0.87381849,0.45175591,0.71645265,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node 内存消耗,5,0.87887208,0.46396434,0.67438234,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node 磁盘写IO消耗,6,0.87670424,0.45305881,0.69718399,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node 磁盘空间消耗,5,0.87663858,0.46616631,0.66591619,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node 磁盘读IO消耗,5,0.87444934,0.470809,0.68127439,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node节点CPU故障,5,0.87249874,0.47275281,0.63642515,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,node节点CPU爬升,3,0.87848589,0.46433385,0.66851464,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,code error,1,0.87987561,0.45463868,0.65285103,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,cpu stress,8,0.8773522,0.47177237,0.64260114,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,dns error,5,0.87559868,0.47150517,0.64290084,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,io fault,5,0.87640929,0.46414437,0.6441107,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,jvm cpu,3,0.8755246,0.47112979,0.6447413,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,jvm exception,3,0.8800007,0.47158395,0.67656976,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,jvm gc,2,0.87686333,0.48462969,0.62507977,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,jvm latency,5,0.87757919,0.46729286,0.66401736,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,memory stress,6,0.87498156,0.468005,0.67434939,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,network corrupt,6,0.87543313,0.46720128,0.6272676,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,network delay,7,0.87744881,0.47362088,0.63087167,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,network loss,5,0.87865005,0.47338832,0.6157044,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,node cpu stress,6,0.87776167,0.47391659,0.63557651,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,node disk fill,4,0.87940353,0.47677474,0.63847491,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,node memory stress,12,0.87765498,0.47333603,0.6351804,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,pod failure,10,0.87589773,0.47612423,0.63622007,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,pod kill,2,0.87500294,0.44979277,0.64309492,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,target port misconfig,3,0.8755584,0.45949661,0.66290792,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,cpu,15,0.87228956,0.45582734,0.64495998,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,delay,15,0.87339229,0.45627148,0.64358759,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,disk,15,0.87079642,0.45590718,0.63751915,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,loss,15,0.87300186,0.46133432,0.63864366,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,mem,15,0.87268708,0.4601744,0.64353279,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,socket,15,0.87259865,0.45644581,0.64813863,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,cpu,15,0.86955875,0.47713798,0.62119158,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,delay,15,0.861388,0.47902127,0.59848889,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,disk,15,0.87247477,0.47186115,0.63402117,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,loss,15,0.86903494,0.47857449,0.63699108,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,mem,15,0.87140965,0.46987421,0.62692817,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,socket,15,0.87153045,0.47604408,0.60676482,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,ContainerKill,6,0.76992714,0.51151042,0.53205128,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPRequestAbort,6,0.7827192,0.52597666,0.51282051,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPRequestDelay,7,0.77955177,0.52051301,0.51098901,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPRequestReplaceMethod,15,0.77639121,0.51579162,0.5025641,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPRequestReplacePath,1,0.77444483,0.51335191,0.57692308,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPResponseAbort,3,0.77229696,0.51837815,0.52564103,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPResponseDelay,7,0.77754184,0.52131754,0.51648352,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPResponseReplaceBody,2,0.78392417,0.52584029,0.5,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,HTTPResponseReplaceCode,13,0.77726379,0.51348109,0.54142012,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,JVMException,3,0.77676972,0.51300572,0.52564103,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,JVMLatency,1,0.77595232,0.50322642,0.53846154,1,,,1,,,,,1,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,JVMMemoryStress,14,0.76943266,0.50886681,0.51648352,1,,,1,,,,,1,,
