experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,qwen3.6-27b,R,aiops2025,incorrect,70,0.83451422,0.16045826,0.92802198,,0.5599673,0.045962596,0.065411696,0.32865841,,0.8532835,0.98053538,1.3954495,1.3146336,
direct_rca,qwen3.6-27b,R,re2_ob,correct,49,0.84064675,0.14709042,0.91208791,,0.55775847,0.043762747,0.076944421,0.32153437,,0.84991766,0.93360526,1.641481,1.2861375,
direct_rca,qwen3.6-27b,R,re2_ob,incorrect,41,0.8376991,0.14927343,0.92401501,,0.5644031,0.04107334,0.073012926,0.32151064,,0.86004281,0.87623125,1.5576091,1.2860426,
direct_rca,qwen3.6-27b,R,re2_tt,correct,39,0.83680133,0.15099967,0.93096647,,0.56556647,0.045288308,0.067799871,0.32134535,,0.8665564,0.96615057,1.4463973,1.2700019,
direct_rca,qwen3.6-27b,R,re2_tt,incorrect,51,0.83738529,0.16388741,0.92760181,,0.56120845,0.042898323,0.067201014,0.32869221,,0.87256081,0.94142491,1.4402182,1.2523917,
direct_rca,qwen3.6-27b,V,aegislab,correct,34,0.84682465,0.10794827,0.9479638,,0.6365601,0.033650818,0.040173014,0.28961607,,1.0049028,0.72864731,0.8570243,1.0693792,
direct_rca,qwen3.6-27b,V,aegislab,incorrect,62,0.84520337,0.11149021,0.93548387,,0.63693618,0.034392951,0.039395205,0.28927566,,0.99814876,0.74386504,0.84043104,1.0870368,
direct_rca,qwen3.6-27b,V,aiops2022,correct,17,0.85348793,0.11793672,0.92760181,,0.62262592,0.037563009,0.041795176,0.29801589,,0.95275029,0.8013442,0.89163041,1.179666,
direct_rca,qwen3.6-27b,V,aiops2022,incorrect,83,0.85186285,0.11042052,0.93836886,,0.62739311,0.036724627,0.040840121,0.29504214,,0.95940832,0.78345871,0.87125591,1.1705847,
direct_rca,qwen3.6-27b,V,aiops2025,correct,20,0.8467366,0.11117283,0.94230769,,0.64716329,0.033744741,0.0370214,0.28207056,,0.98615359,0.71988781,0.78978987,1.1282823,
direct_rca,qwen3.6-27b,V,aiops2025,incorrect,73,0.84531073,0.11004328,0.93730242,,0.6449445,0.034336954,0.037535303,0.28318324,,0.98277257,0.73252168,0.80075313,1.132733,
direct_rca,qwen3.6-27b,V,re2_ob,correct,42,0.84657461,0.10066007,0.92857143,,0.63582544,0.031821283,0.041791904,0.29056137,,0.96887686,0.67885404,0.89156063,1.1622455,
direct_rca,qwen3.6-27b,V,re2_ob,incorrect,48,0.84404419,0.10706035,0.92307692,,0.63680067,0.031732965,0.041468747,0.28999762,,0.97036293,0.67696991,0.88466659,1.1599905,
direct_rca,qwen3.6-27b,V,re2_tt,correct,39,0.85762665,0.1092403,0.93688363,,0.61150538,0.047873987,0.042951672,0.29766896,,0.93709385,1.0213117,0.91630233,1.1755054,
direct_rca,qwen3.6-27b,V,re2_tt,incorrect,51,0.85814526,0.12377193,0.92835596,,0.60562333,0.044173541,0.045563238,0.30463989,,0.94220352,0.96267461,0.9779905,1.1604549,
direct_rca,qwen3.8-27b,H,aegislab,correct,36,0.85797402,0.095982651,0.96047009,,0.65213117,0.032632376,0.031831593,0.28340486,,1.0257995,0.69990161,0.67907398,1.0589705,
direct_rca,qwen3.8-27b,H,aegislab,incorrect,60,0.85592216,0.098025065,0.96025641,,0.6487219,0.031389,0.031892431,0.28799667,,1.0200959,0.68236216,0.68037186,1.0817481,
direct_rca,qwen3.8-27b,H,aiops2022,correct,21,0.86538763,0.091557128,0.95604396,,0.67948872,0.029665218,0.026860064,0.263986,,1.0354114,0.63285798,0.5730147,1.055944,
direct_rca,qwen3.8-27b,H,aiops2022,incorrect,79,0.86518082,0.0902479,0.9600779,,0.67297409,0.030867235,0.02711531,0.26904337,,1.0303341,0.65850102,0.57845996,1.0649254,
direct_rca,qwen3.8-27b,H,aiops2025,correct,14,0.86350745,0.1031286,0.95604396,,0.65886617,0.030521175,0.026253284,0.28435937,,1.0039865,0.6511184,0.56007006,1.1374375,
