experiment,model,arm,dataset_scope,n,mean_text_tokens,sum_text_tokens,mean_image_tokens,sum_image_tokens,mean_input_tokens,sum_input_tokens,mean_output_tokens,sum_output_tokens,mean_total_tokens,sum_total_tokens,mean_model_calls,sum_model_calls,mean_incremental_total_tokens,mean_amortized_total_tokens,mean_amortized_model_calls
typed_two_stage,qwen3.8-27b,P,aiops2025,93,2607.5484,242502,17836.387,1658784,20443.935,1901286,278.63441,25913,20722.57,1927199,2,186,,,
typed_two_stage,qwen3.8-27b,V,aiops2025,93,2558.2688,237919,2050.5161,190698,4608.7849,428617,278.06452,25860,4886.8495,454477,2,186,,,
typed_two_stage,qwen3.8-27b,H,all_469,469,21209.84,9947415,2093.7463,981967,23303.586,10929382,335.48188,157341,23639.068,11086723,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,all_469,469,21188.915,9937601,0,0,21188.915,9937601,334.66951,156960,21523.584,10094561,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,all_469,469,19811.751,9291711,525.34328,246386,20337.094,9538097,333.44563,156386,20670.539,9694483,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,all_469,469,20773.439,9742743,98,45962,20871.439,9788705,350.76119,164507,21222.2,9953212,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,all_469,469,19382.23,9090266,623.34328,292348,20005.574,9382614,333.03412,156193,20338.608,9538807,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,all_469,469,20517.599,9622754,98,45962,20615.599,9668716,333.05117,156201,20948.65,9824917,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,all_469,469,19128.665,8971344,623.34328,292348,19752.009,9263692,331.90405,155663,20083.913,9419355,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,all_469,469,20082.925,9418892,196,91924,20278.925,9510816,332.05117,155732,20610.977,9666548,2,938,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,all_469,469,18699.226,8769937,721.34328,338310,19420.569,9108247,331.40512,155429,19751.974,9263676,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,all_469,469,5635.8827,2643229,1371,642999,7006.8827,3286228,334.9936,157112,7341.8763,3443340,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,all_469,469,4251.2473,1993835,1896.3433,889385,6147.5906,2883220,333.96375,156629,6481.5544,3039849,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,all_469,469,5186.693,2432559,1469,688961,6655.693,3121520,333.6887,156500,6989.3817,3278020,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,all_469,469,3822.1983,1792611,1994.3433,935347,5816.5416,2727958,332.90192,156131,6149.4435,2884089,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,all_469,469,4941.1365,2317393,1469,688961,6410.1365,3006354,332.9936,156174,6743.1301,3162528,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,all_469,469,3576.6951,1677470,1994.3433,935347,5571.0384,2612817,332.72281,156047,5903.7612,2768864,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,all_469,469,4497.6695,2109407,1567,734923,6064.6695,2844330,331.3113,155385,6395.9808,2999715,2,938,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,all_469,469,3141.6183,1473419,2092.3433,981309,5233.9616,2454728,331.80384,155616,5565.7655,2610344,2,938,,,
typed_two_stage,qwen3.8-27b,P,all_469,469,3157.8465,1481030,20563.932,9644484,23721.778,11125514,333.5693,156444,24055.348,11281958,2,938,,,
typed_two_stage,qwen3.8-27b,V,all_469,469,3137.8763,1471664,2093.7463,981967,5231.6226,2453631,331.78252,155606,5563.4051,2609237,2,938,,,
typed_two_stage,qwen3.8-27b,H,headline_289,289,19346.059,5591011,2094.7578,605385,21440.817,6196396,303.94118,87839,21744.758,6284235,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,headline_289,289,19329.412,5586200,0,0,19329.412,5586200,302.55017,87437,19631.962,5673637,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,headline_289,289,17966.173,5192224,524.90657,151698,18491.08,5343922,302.04152,87290,18793.121,5431212,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,headline_289,289,18866.727,5452484,98,28322,18964.727,5480806,302.05536,87294,19266.782,5568100,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,headline_289,289,17486.422,5053576,622.90657,180020,18109.329,5233596,301.31488,87080,18410.644,5320676,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,headline_289,289,18643.619,5388006,98,28322,18741.619,5416328,302.08304,87302,19043.702,5503630,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,headline_289,289,17270.149,4991073,622.90657,180020,17893.055,5171093,301.14187,87030,18194.197,5258123,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,headline_289,289,18172.896,5251967,196,56644,18368.896,5308611,301.37716,87098,18670.273,5395709,2,578,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,headline_289,289,16799.782,4855137,720.90657,208342,17520.689,5063479,300.73702,86913,17821.426,5150392,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,headline_289,289,5312.9481,1535442,1371,396219,6683.9481,1931661,303.76125,87787,6987.7093,2019448,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,headline_289,289,3937.1453,1137835,1895.9066,547917,5833.0519,1685752,302.38754,87390,6135.4394,1773142,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,headline_289,289,4826.6678,1394907,1469,424541,6295.6678,1819448,302.80277,87510,6598.4706,1906958,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,headline_289,289,3462.9619,1000796,1993.9066,576239,5456.8685,1577035,302.3564,87381,5759.2249,1664416,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,headline_289,289,4595.0692,1327975,1469,424541,6064.0692,1752516,301.80277,87221,6365.872,1839737,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,headline_289,289,3241.3183,936741,1993.9066,576239,5235.2249,1512980,301.97232,87270,5537.1972,1600250,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,headline_289,289,4116.2215,1189588,1567,452863,5683.2215,1642451,301.16263,87036,5984.3841,1729487,2,578,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,headline_289,289,2768.4464,800081,2091.9066,604561,4860.3529,1404642,301.43599,87115,5161.7889,1491757,2,578,,,
typed_two_stage,qwen3.8-27b,P,headline_289,289,2767.8858,799919,19410.394,5609604,22178.28,6409523,301.65052,87177,22479.931,6496700,2,578,,,
