experiment,model,arm,dataset,n,supported,unsupported,binding_rate
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2025,93,292,79,0.78706199
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_ob,90,437,103,0.80925926
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_tt,90,415,115,0.78301887
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aegislab,96,407,113,0.78269231
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2022,100,280,73,0.79320113
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2025,93,313,58,0.84366577
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_ob,90,453,87,0.83888889
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_tt,90,450,80,0.8490566
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aegislab,96,365,155,0.70192308
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2022,100,237,116,0.6713881
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2025,93,241,130,0.64959569
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_ob,90,355,185,0.65740741
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_tt,88,359,159,0.69305019
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aegislab,96,375,145,0.72115385
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2022,100,265,88,0.75070822
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2025,90,257,101,0.71787709
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_ob,90,389,151,0.72037037
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_tt,88,394,124,0.76061776
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aegislab,96,349,171,0.67115385
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2022,100,220,133,0.62322946
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2025,93,254,117,0.68463612
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_ob,90,389,151,0.72037037
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_tt,90,356,174,0.67169811
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aegislab,96,363,157,0.69807692
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2022,100,223,130,0.63172805
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2025,93,249,122,0.67115903
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_ob,90,392,148,0.72592593
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_tt,90,376,154,0.70943396
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aegislab,94,260,248,0.51181102
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2022,100,157,196,0.44475921
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2025,93,187,184,0.50404313
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_ob,90,289,251,0.53518519
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_tt,90,288,242,0.54339623
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aegislab,94,309,199,0.60826772
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2022,100,183,170,0.5184136
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2025,93,200,171,0.53908356
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_ob,90,333,207,0.61666667
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_tt,90,312,218,0.58867925
typed_two_stage,gemma-4-26b-a4b,P,aegislab,96,319,201,0.61346154
typed_two_stage,gemma-4-26b-a4b,P,aiops2022,100,239,114,0.67705382
typed_two_stage,gemma-4-26b-a4b,P,aiops2025,93,237,134,0.63881402
typed_two_stage,gemma-4-26b-a4b,P,re2_ob,90,409,131,0.75740741
typed_two_stage,gemma-4-26b-a4b,P,re2_tt,90,355,175,0.66981132
typed_two_stage,gemma-4-26b-a4b,V,aegislab,95,312,202,0.60700389
typed_two_stage,gemma-4-26b-a4b,V,aiops2022,100,199,154,0.56373938
typed_two_stage,gemma-4-26b-a4b,V,aiops2025,93,204,167,0.54986523
typed_two_stage,gemma-4-26b-a4b,V,re2_ob,89,345,189,0.64606742
typed_two_stage,gemma-4-26b-a4b,V,re2_tt,89,299,225,0.57061069
typed_two_stage,qwen3.6-27b,H,aegislab,96,485,29,0.94357977
typed_two_stage,qwen3.6-27b,H,aiops2022,100,325,21,0.93930636
typed_two_stage,qwen3.6-27b,H,aiops2025,93,370,11,0.97112861
typed_two_stage,qwen3.6-27b,H,re2_ob,90,506,34,0.93703704
typed_two_stage,qwen3.6-27b,H,re2_tt,90,506,26,0.95112782
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gt,aegislab,96,455,59,0.88521401
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2022,100,317,29,0.91618497
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2025,93,370,11,0.97112861
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gt,re2_ob,90,503,37,0.93148148
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gt,re2_tt,90,494,38,0.92857143
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,aegislab,96,459,55,0.89299611
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2022,100,309,37,0.89306358
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2025,93,360,21,0.94488189
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_ob,90,489,51,0.90555556
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_tt,90,487,45,0.91541353
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gt,aegislab,96,462,52,0.89883268
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2022,100,317,29,0.91618497
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2025,93,332,49,0.87139108
typed_two_stage,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_ob,90,484,56,0.8962963
