experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,H,aiops2025,tidb-tidb,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2025,tidb-tikv,10,0.3,0.4
direct_rca,gemma-4-26b-a4b,H,re2_ob,checkoutservice,18,0.77777778,0.87037037
direct_rca,gemma-4-26b-a4b,H,re2_ob,currencyservice,18,0.33333333,0.52777778
direct_rca,gemma-4-26b-a4b,H,re2_ob,emailservice,18,0.77777778,0.87962963
direct_rca,gemma-4-26b-a4b,H,re2_ob,productcatalogservice,18,0.27777778,0.49537037
direct_rca,gemma-4-26b-a4b,H,re2_ob,recommendationservice,18,0.77777778,0.86111111
direct_rca,gemma-4-26b-a4b,H,re2_tt,ts-auth-service,18,0.55555556,0.63888889
direct_rca,gemma-4-26b-a4b,H,re2_tt,ts-order-service,18,0.61111111,0.71944444
direct_rca,gemma-4-26b-a4b,H,re2_tt,ts-route-service,18,0.5,0.63148148
direct_rca,gemma-4-26b-a4b,H,re2_tt,ts-train-service,18,0.72222222,0.79074074
direct_rca,gemma-4-26b-a4b,H,re2_tt,ts-travel-service,18,0.5,0.62037037
direct_rca,gemma-4-26b-a4b,P,aegislab,mysql,6,0.16666667,0.16666667
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-assurance-service,5,0.6,0.6
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-auth-service,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-basic-service,19,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-config-service,6,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-consign-service,2,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-contacts-service,2,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-food-service,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-inside-payment-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-order-other-service,4,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-order-service,5,0.4,0.4
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-preserve-service,5,0.2,0.2
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-price-service,2,0,0
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-route-plan-service,6,0.16666667,0.16666667
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-route-service,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-seat-service,6,0.16666667,0.16666667
direct_rca,gemma-4-26b-a4b,P,aegislab,ts-security-service,1,0,0
