experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_ob,90,0.51111111,0.81111111,0.48888889,0.23333333,1,0.57407407
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_tt,90,0.57222222,0.71111111,0.51685393,0.47727273,1,0.67592593
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aegislab,96,0.54340278,0.875,0.31578947,0.40789474,1,0.59722222
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2022,100,0.81166667,0.94,0.76041667,0.22222222,1,0.855
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2025,93,0.81899642,0.94623656,0.82051282,0.36363636,1,0.84408602
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_ob,90,0.61481481,0.97777778,0.58888889,0.27777778,1,0.66666667
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,re2_tt,90,0.64259259,0.87777778,0.48314607,0.55681818,1,0.72222222
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aegislab,96,0.48611111,0.78125,0.30526316,0.32894737,1,0.57118056
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2022,100,0.79,0.87,0.76041667,0.38888889,1,0.84
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aiops2025,93,0.79928315,0.88172043,0.82051282,0.40909091,1,0.84587814
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_ob,90,0.53333333,0.76666667,0.53333333,0.3,1,0.62222222
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,re2_tt,90,0.5462963,0.61111111,0.51685393,0.5,1,0.68518519
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aegislab,96,0.59895833,0.94791667,0.37894737,0.44736842,1,0.70138889
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2022,100,0.745,0.94,0.5625,0.5,1,0.75833333
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aiops2025,93,0.89784946,0.97849462,0.85897436,0.68181818,1,0.91935484
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_ob,90,0.62222222,0.91111111,0.51111111,0.44444444,1,0.69259259
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,re2_tt,90,0.63518519,0.82222222,0.47191011,0.60227273,1,0.73333333
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aegislab,96,0.546875,0.86458333,0.32631579,0.43421053,1,0.671875
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2022,100,0.725,0.93,0.5625,0.38888889,1,0.72833333
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aiops2025,93,0.86200717,0.92473118,0.84615385,0.63636364,1,0.88888889
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_ob,90,0.55555556,0.78888889,0.47777778,0.4,1,0.6462963
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,re2_tt,90,0.59074074,0.65555556,0.49438202,0.61363636,1,0.71851852
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aegislab,96,0.50347222,0.80208333,0.30526316,0.38157895,1,0.65798611
