experiment,model,arm,dataset,template,n,accuracy
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,L_locator_chain,11,0.54545455
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,M_G_link,15,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,M_L_link,12,0.41666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,M_R_link,24,0.95833333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,M_direct_read,21,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,M_locator_chain,24,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,R_G_link,20,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,R_direct_read,17,0.94117647
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,R_locator_chain,22,0.090909091
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,G_direct_read,20,0.65
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,G_locator_chain,18,0.33333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,L_direct_read,27,0.037037037
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,M_G_link,31,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,M_L_link,3,0.33333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,M_R_link,22,0.95454545
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,M_direct_read,26,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,M_locator_chain,32,0.46875
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,R_G_link,39,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,R_direct_read,23,0.73913043
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,R_locator_chain,26,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,G_direct_read,21,0.61904762
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,L_R_link,41,0.82926829
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,L_direct_read,27,0.2962963
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,L_locator_chain,4,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,M_G_link,16,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,M_L_link,15,0.73333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,M_R_link,24,0.875
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,M_direct_read,23,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,M_locator_chain,8,0.375
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,R_direct_read,29,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,R_locator_chain,6,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,G_direct_read,24,0.66666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,G_locator_chain,16,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,L_direct_read,25,0.2
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,M_G_link,2,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,M_L_link,36,0.63888889
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,M_R_link,33,0.96969697
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,M_direct_read,25,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,M_locator_chain,14,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,R_G_link,7,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,R_direct_read,19,0.89473684
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,R_locator_chain,14,0.071428571
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,G_direct_read,26,0.80769231
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,G_locator_chain,27,0.18518519
