experiment,model,arm,dataset_scope,n,case_n,complete_chain_accuracy,correct_prefix_accuracy,step_accuracy,query_membership_valid,level_1_complete_chain_accuracy,level_2_complete_chain_accuracy,level_3_complete_chain_accuracy,ac@1,ac@3,ac@5,avg@3,avg@5,mrr
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,90,90,0.51296296,0.61820988,0.59259259,1,0.73333333,0.42696629,0.36363636,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_tt,90,90,0.49444444,0.6095679,0.62592593,1,0.64444444,0.40449438,0.42045455,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_tt,90,90,0.65,0.75277778,0.72037037,1,0.92222222,0.46067416,0.55681818,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_tt,90,90,0.58333333,0.72746914,0.72407407,1,0.8,0.4494382,0.48863636,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_tt,90,90,0.56111111,0.70277778,0.7,1,0.74444444,0.41573034,0.51136364,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_tt,90,90,0.51666667,0.675,0.70740741,1,0.57777778,0.41573034,0.54545455,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_tt,90,90,0.5537037,0.65339506,0.60740741,1,0.91111111,0.46067416,0.27272727,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_tt,90,90,0.49814815,0.60771605,0.58333333,1,0.75555556,0.4494382,0.27272727,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_tt,90,90,0.49074074,0.63055556,0.61111111,1,0.74444444,0.38202247,0.32954545,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_tt,90,90,0.46111111,0.60462963,0.59259259,1,0.67777778,0.39325843,0.29545455,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_tt,90,90,0.60555556,0.75154321,0.71481481,1,0.93333333,0.49438202,0.375,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_tt,90,90,0.57592593,0.74475309,0.72962963,1,0.87777778,0.47191011,0.36363636,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_tt,90,90,0.49074074,0.68117284,0.67407407,1,0.73333333,0.39325843,0.32954545,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_tt,90,90,0.44259259,0.65524691,0.67407407,1,0.62222222,0.38202247,0.32954545,,,,,,
cross_region,gemma-4-26b-a4b,P,re2_tt,90,90,0.34259259,0.43055556,0.35555556,1,0.77777778,0.15730337,0.068181818,,,,,,
cross_region,gemma-4-26b-a4b,V,re2_tt,90,90,0.29814815,0.49969136,0.54074074,1,0.38888889,0.31460674,0.17045455,,,,,,
cross_region,qwen3.6-27b,H,aegislab,96,96,0.56597222,0.72800926,0.69097222,1,0.9375,0.31578947,0.40789474,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aegislab,96,96,0.57638889,0.67303241,0.59548611,1,0.97916667,0.33684211,0.36842105,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aegislab,96,96,0.49652778,0.60619213,0.56597222,1,0.80208333,0.29473684,0.36842105,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aegislab,96,96,0.54340278,0.64583333,0.59722222,1,0.875,0.31578947,0.40789474,,,,,,
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aegislab,96,96,0.48611111,0.60763889,0.57118056,1,0.78125,0.30526316,0.32894737,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aegislab,96,96,0.59895833,0.74652778,0.70138889,1,0.94791667,0.37894737,0.44736842,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aegislab,96,96,0.546875,0.70486111,0.671875,1,0.86458333,0.32631579,0.43421053,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aegislab,96,96,0.50347222,0.68460648,0.65798611,1,0.80208333,0.30526316,0.38157895,,,,,,
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aegislab,96,96,0.47048611,0.65451389,0.64930556,1,0.71875,0.30526316,0.35526316,,,,,,
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aegislab,96,96,0.55729167,0.66869213,0.59548611,1,0.97916667,0.31578947,0.32894737,,,,,,
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aegislab,96,96,0.53125,0.64728009,0.59027778,1,0.9375,0.28421053,0.32894737,,,,,,
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aegislab,96,96,0.49652778,0.60532407,0.55729167,1,0.8125,0.31578947,0.31578947,,,,,,
